Year,Event ID,Event Name,Player Name,Round,Score,SG Total,Driving Distance,GIR,Scrambling
2019,,The Masters,"Baker, Chris",3,69,3.408,296.9,0.611,0.625
2019,,The Masters,"Baker, Chris",4,73,0.169,297.5,0.556,0.5
2019,,The Masters,"Hoshino, Rikuya",1,69,4.718,300.0,0.667,0.714
2019,,The Masters,"Hoshino, Rikuya",2,74,-0.213,297.1,0.611,0.444
2019,,The Masters,"Hoshino, Rikuya",3,73,-0.592,313.4,0.5,0.615
2019,,The Masters,"Hoshino, Rikuya",4,71,2.169,310.1,0.833,0.8
2019,,The Masters,"DeChambeau, Bryson",1,73,0.718,333.9,0.556,0.364
2019,,The Masters,"DeChambeau, Bryson",2,69,4.787,327.8,0.611,0.545
2019,,The Masters,"DeChambeau, Bryson",3,68,4.408,334.7,0.833,0.6
2019,,The Masters,"DeChambeau, Bryson",4,77,-3.831,321.1,0.722,0.286
2019,,The Masters,"Rodgers, Patrick",1,70,3.718,319.3,0.667,0.571
2019,,The Masters,"Rodgers, Patrick",2,71,2.787,320.7,0.778,0.4
2019,,The Masters,"Rodgers, Patrick",3,77,-4.592,314.2,0.556,0.556
2019,,The Masters,"Rodgers, Patrick",4,70,3.169,322.3,0.722,0.6
2019,,The Masters,"Niemann, Joaquin",1,75,-1.282,314.6,0.444,0.462
2019,,The Masters,"Niemann, Joaquin",2,69,4.787,318.9,0.722,0.667
2019,,The Masters,"Niemann, Joaquin",3,71,1.408,317.7,0.722,0.6
2019,,The Masters,"Niemann, Joaquin",4,73,0.169,317.9,0.667,0.625
2019,,The Masters,"Bezuidenhout, Christiaan",1,72,1.718,290.4,0.389,0.727
2019,,The Masters,"Bezuidenhout, Christiaan",2,70,3.787,299.4,0.778,0.6
2019,,The Masters,"Bezuidenhout, Christiaan",3,70,2.408,296.1,0.889,0.0
2019,,The Masters,"Bezuidenhout, Christiaan",4,76,-2.831,289.5,0.556,0.429
2019,,The Masters,"Wu, Dylan",1,70,3.718,296.5,0.667,0.857
2019,,The Masters,"Wu, Dylan",2,73,0.787,300.5,0.5,0.75
2019,,The Masters,"Wu, Dylan",3,74,-1.592,299.4,0.5,0.667
2019,,The Masters,"Wu, Dylan",4,71,2.169,306.6,0.556,0.6
2019,,The Masters,"Scott, Adam",1,70,3.718,307.8,0.667,0.714
2019,,The Masters,"Scott, Adam",2,75,-1.213,306.4,0.5,0.417
2019,,The Masters,"Scott, Adam",3,71,1.408,305.4,0.444,0.667
2019,,The Masters,"Scott, Adam",4,73,0.169,305.6,0.667,0.667
2019,,The Masters,"Molinari, Edoardo",1,70,3.718,299.3,0.556,0.75
2019,,The Masters,"Molinari, Edoardo",2,76,-2.213,290.9,0.5,0.4
2019,,The Masters,"Molinari, Edoardo",3,72,0.408,301.9,0.611,0.556
2019,,The Masters,"Molinari, Edoardo",4,71,2.169,305.5,0.833,1.0
2019,,The Masters,"Griffin, Lanto",1,76,-2.282,306.4,0.556,0.3
2019,,The Masters,"Griffin, Lanto",2,69,4.787,304.1,0.667,0.778
2019,,The Masters,"Griffin, Lanto",3,69,3.408,298.4,0.556,0.875
2019,,The Masters,"Griffin, Lanto",4,75,-1.831,303.3,0.444,0.429
2019,,The Masters,"Im, Sungjae",1,72,1.718,300.9,0.667,0.571
2019,,The Masters,"Im, Sungjae",2,72,1.787,303.4,0.556,0.727
2019,,The Masters,"Im, Sungjae",3,69,3.408,290.4,0.667,0.857
2019,,The Masters,"Im, Sungjae",4,76,-2.831,296.4,0.667,0.429
2019,,The Masters,"MacIntyre, Robert",1,71,2.718,303.8,0.667,0.714
2019,,The Masters,"MacIntyre, Robert",2,73,0.787,305.1,0.556,0.667
2019,,The Masters,"MacIntyre, Robert",3,72,0.408,299.7,0.611,0.778
2019,,The Masters,"MacIntyre, Robert",4,73,0.169,315.2,0.667,0.444
2019,,The Masters,"Poulter, Ian",1,74,-0.282,290.9,0.444,0.7
2019,,The Masters,"Poulter, Ian",2,71,2.787,294.4,0.5,0.727
2019,,The Masters,"Poulter, Ian",3,68,4.408,294.9,0.722,0.667
2019,,The Masters,"Poulter, Ian",4,77,-3.831,293.5,0.556,0.0
2019,,The Masters,"Ormsby, Wade",1,72,1.718,285.6,0.611,0.625
2019,,The Masters,"Ormsby, Wade",2,74,-0.213,288.1,0.722,0.2
2019,,The Masters,"Ormsby, Wade",3,73,-0.592,287.0,0.667,0.5
2019,,The Masters,"Ormsby, Wade",4,71,2.169,289.4,0.5,0.75
2019,,The Masters,"Reavie, Chez",1,76,-2.282,288.5,0.611,0.286
2019,,The Masters,"Reavie, Chez",2,68,5.787,289.4,0.778,1.0
2019,,The Masters,"Reavie, Chez",3,72,0.408,285.5,0.444,0.667
